Reference,Name,Height (m),Longitude,Latitude,Maidenhead Locator,valid from,valid to,deleted,Activations,last activated by,last date,
DA/AL-045,"Wildengundkopf",2197,10.18420029,47.28829956,JN57CG,20120401,20991231,0,0,,
DA/AL-046,"Liechelkopf",2383,10.17940044,47.29579926,JN57CH,20120401,20991231,0,0,,
DA/AL-047,"Angerkopf",2263,10.18640041,47.29389954,JN57CH,20120401,20991231,0,0,,
DA/AL-048,"Kemptner Kopf",2192,10.19890022,47.29750061,JN57CH,20120401,20991231,0,0,,
DA/AL-049,"Noerdl.Hammerspitze",2250,10.20689964,47.32139969,JN57CH,20120401,20991231,0,0,,
DA/AL-050,"Schuesser",2170,10.19939995,47.32640076,JN57CH,20120401,20991231,0,0,,
DA/AL-051,"Warmatsgundkopf",2059,10.20779991,47.33470154,JN57CI,20120401,20991231,0,1,DL2DXA/P,06/08/2018
DA/AL-052,"Schlappolt",1986,10.22360039,47.35810089,JN57CI,20120401,20991231,0,0,,
DA/AL-053,"Soellereck",1706,10.23750019,47.37329865,JN57CI,20120401,20991231,0,0,,
DA/AL-054,"Torkopf",1930,10.12919998,47.37939835,JN57BJ,20120401,20991231,0,0,,
DA/AL-055,"Unt.Gottesackerwand",1848,10.13689995,47.38470078,JN57BJ,20120401,20991231,0,0,,
DA/AL-056,"Beslerkopf",1655,10.18000031,47.42610168,JN57CK,20120401,20991231,0,0,,
DA/AL-057,"Ragiswanger Horn",1615,10.20079994,47.47829819,JN57CL,20120401,20991231,0,1,DL2DVE/P,07/06/2017
DA/AL-058,"Sigiswanger Horn",1527,10.20940018,47.48469925,JN57CL,20120401,20991231,0,1,DL2DVE/P,07/06/2017
DA/AL-059,"Ofterschwanger Horn",1407,10.21249962,47.49359894,JN57CL,20120401,20991231,0,1,DL2DVE/P,08/06/2017
DA/AL-060,"Dreifahnenkopf",1628,10.15439987,47.46189880,JN57BL,20120401,20991231,0,0,,
DA/AL-061,"Haellritzer Eck",1669,10.14360046,47.46780014,JN57BL,20120401,20991231,0,0,,
DA/AL-062,"Tennenmooskopf",1626,10.14190006,47.48500061,JN57BL,20120401,20991231,0,0,,
DA/AL-063,"Heidenkopf",1685,10.11110020,47.48059845,JN57BL,20120401,20991231,0,0,,
DA/AL-064,"Girenkopf",1683,10.10389996,47.48059845,JN57BL,20120401,20991231,0,0,,
DA/AL-065,"Gelbhansenkopf",1437,10.10420036,47.45059967,JN57BK,20120401,20991231,0,0,,
DA/AL-066,"Mittag",1462,10.21720028,47.53670120,JN57CM,20120401,20991231,0,2,DL6JZ/P,28/06/2021
DA/AL-067,"Baerenkopf",1479,10.21030045,47.53030014,JN57CM,20120401,20991231,0,2,DL6JZ/P,28/06/2021
DA/AL-068,"Steineberg",1683,10.19169998,47.52719879,JN57CM,20120401,20991231,0,1,DL6JZ/P,02/07/2021
DA/AL-069,"Sederer Stuiben",1737,10.15310001,47.51419830,JN57BM,20120401,20991231,0,0,,
DA/AL-070,"Guendeleskopf",1748,10.12390041,47.50640106,JN57BM,20120401,20991231,0,0,,
DA/AL-071,"Selekopf",1663,10.06000042,47.49029922,JN57AL,20120401,20991231,0,0,,
DA/AL-072,"Hohenfluhalpkopf",1636,10.04889965,47.48920059,JN57AL,20120401,20991231,0,0,,
DA/AL-073,"Einegundkopf",1641,10.03829956,47.48889923,JN57AL,20120401,20991231,0,0,,
DA/AL-074,"Falken",1564,10.02060032,47.48360062,JN57AL,20120401,20991231,0,0,,
DA/AL-075,"Gschwender Horn",1441,10.16940022,47.55080032,JN57CN,20120401,20991231,0,1,DL6JZ/P,03/07/2021
DA/AL-076,"Vorderer Prodel",1487,10.12310028,47.53670120,JN57BM,20120401,20991231,0,0,,
DA/AL-077,"Denneberg",1427,10.08440018,47.52780151,JN57BM,20120401,20991231,0,0,,
DA/AL-078,"Thaler Hoehe",1166,10.11670017,47.57640076,JN57BN,20120401,20991231,0,0,,
DA/AL-080,"Tiefenbacher Eck",1569,10.36719990,47.52830124,JN57EM,20120401,20991231,0,0,,
DA/AL-081,"Jochschrofen",1625,10.39360046,47.52360153,JN57EM,20120401,20991231,0,0,,
DA/AL-082,"Hirschberg",1500,10.37639999,47.51860046,JN57EM,20120401,20991231,0,0,,
DA/AL-083,"Rottachberg",1116,10.29360008,47.59080124,JN57DO,20120401,20991231,0,0,,
DA/AL-084,"Alpspitze",1575,10.49580002,47.59780121,JN57FO,20120401,20991231,0,1,DK4ST/P,04/07/2015
DA/AL-085,"Kappelkoepfl",1461,10.50310040,47.59859848,JN57GO,20120401,20991231,0,0,,
DA/AL-086,"Einerkopf",1260,10.60060024,47.56809998,JN57HN,20120401,20991231,0,1,DL6WT/P,03/06/2015
DA/AL-087,"Hohenfreyberg",1041,10.58749962,47.61360168,JN57HO,20120401,20991231,0,4,DL7NDS,29/01/2019
