"Scheme","DXCC","Reference","Name","Type","Lat","Long","Locator","Roc Code","Historic County","Nearest Postcode","Roc Master_post","Roc Group_hq",""
"UKBOTA","223","B/G-0089","ROC Post St. Breward Master Post","ROC Bunker","50.56647","-4.68794","IO70PN","EXE","Cornwall","PL30 4PP","true","","🗺️"
"UKBOTA","223","B/G-0090","ROC Post Par","ROC Bunker","50.36910","-4.66889","IO70PI","EXE","Cornwall","PL24 2UA","","","🗺️"
"UKBOTA","223","B/G-0091","ROC Post Otterham","ROC Bunker","50.66617","-4.62273","IO70QP","EXE","Cornwall","PL35 0HS","","","🗺️"
"UKBOTA","223","B/G-0092","ROC Post Polperro","ROC Bunker","50.36688","-4.51858","IO70RI","EXE","Cornwall","PL13 2PQ","","","🗺️"
"UKBOTA","223","B/G-0093","ROC Post Week St. Mary","ROC Bunker","50.75790","-4.50506","IO70RS","EXE","Cornwall","EX22 6XF","","","🗺️"
"UKBOTA","223","B/G-0094","ROC Post Liskeard","ROC Bunker","50.45589","-4.45751","IO70SK","EXE","Cornwall","PL14 3BS","","","🗺️"
"UKBOTA","223","B/G-0095","ROC Post Coad's Green","ROC Bunker","50.56661","-4.40155","IO70TN","EXE","Cornwall","PL15 7LU","","","🗺️"
"UKBOTA","223","B/G-0096","ROC Post Downderry","ROC Bunker","50.36800","-4.37154","IO70TI","EXE","Cornwall","PL11 3DJ","","","🗺️"
"UKBOTA","223","B/G-0097","ROC Post Launceston","ROC Bunker","50.63238","-4.35625","IO70TP","EXE","Cornwall","PL15 9TT","","","🗺️"
"UKBOTA","223","B/G-0098","ROC Post Callington Master Post","ROC Bunker","50.49909","-4.30237","IO70UL","EXE","Cornwall","PL17 7PY","true","","🗺️"
"UKBOTA","223","B/G-0099","ROC Post Saltash","ROC Bunker","50.40627","-4.25621","IO70UJ","EXE","Cornwall","PL12 4QH","","","🗺️"
"UKBOTA","223","B/G-0100","ROC Post Millbrook Master Post","ROC Bunker","50.34269","-4.20428","IO70VI","EXE","Cornwall","PL10 1LA","true","","🗺️"
"UKBOTA","223","B/G-0101","ROC Post Wadebridge","ROC Bunker","50.50952","-4.89445","IO70NM","EXE","Cornwall","PL27 7RQ","","","🗺️"
"UKBOTA","223","B/G-0103","ROC Post Sacriston Master Post","ROC Bunker","54.82618","-1.65529","IO94ET","DUR","Durham","DH7 6TR","true","","🗺️"
"UKBOTA","223","B/G-0104","ROC Post Stanhope","ROC Bunker","54.76007","-2.01551","IO84XS","DUR","Durham","DL13 2EW","","","🗺️"
"UKBOTA","223","B/G-0105","ROC Post Woodland Master Post","ROC Bunker","54.61473","-1.92394","IO94AO","DUR","Durham","DL13 5RY","true","","🗺️"
"UKBOTA","223","B/G-0106","ROC Post Tow Law Master Post","ROC Bunker","54.74075","-1.79308","IO94CR","DUR","Durham","DL13 4NH","true","","🗺️"
"UKBOTA","223","B/G-0107","ROC Post Tantobie","ROC Bunker","54.88605","-1.73996","IO94DV","DUR","Durham","DH9 9SH","","","🗺️"
"UKBOTA","223","B/G-0108","ROC Post Westerton","ROC Bunker","54.67545","-1.62174","IO94EQ","DUR","Durham","DL14 8DT","","","🗺️"
"UKBOTA","223","B/G-0109","ROC Post Springwell","ROC Bunker","54.92497","-1.55590","IO94FW","DUR","Durham","NE9 7YX","","","🗺️"
"UKBOTA","223","B/G-0110","ROC Post Sherburn Hill","ROC Bunker","54.76994","-1.48455","IO94GS","DUR","Durham","DH6 1QR","","","🗺️"
"UKBOTA","223","B/G-0111","ROC Post Sadberge","ROC Bunker","54.54336","-1.47875","IO94GN","DUR","Durham","DL2 1TW","","","🗺️"
"UKBOTA","223","B/G-0112","ROC Post Sedgefield Master Post","ROC Bunker","54.66530","-1.43610","IO94GP","DUR","Durham","TS21 3ED","true","","🗺️"
"UKBOTA","223","B/G-0113","ROC Post Whitburn","ROC Bunker","54.95675","-1.36645","IO94HW","DUR","Durham","SR6 7HA","","","🗺️"
"UKBOTA","223","B/G-0114","ROC Post Wolviston","ROC Bunker","54.60857","-1.30978","IO94IO","DUR","Durham","TS22 5EB","","","🗺️"
"UKBOTA","223","B/G-0115","ROC Post Seaton Carew","ROC Bunker","54.64619","-1.18615","IO94JP","DUR","Durham","TS25 2DW","","","🗺️"
"UKBOTA","223","B/G-0116","ROC Post Wearhead","ROC Bunker","54.74352","-2.22771","IO84VR","DUR","Durham","DL13 1HL","","","🗺️"
"UKBOTA","223","B/G-0117","ROC Post Whitehaven","ROC Bunker","54.55497","-3.56922","IO84FN","CAR","Cumberland","CA28 6SH","","","🗺️"
"UKBOTA","223","B/G-0118","ROC Post Workington","ROC Bunker","54.65185","-3.53514","IO84FP","CAR","Cumberland","CA14 1DG","","","🗺️"
"UKBOTA","223","B/G-0119","ROC Post Seascale","ROC Bunker","54.40187","-3.48665","IO84GJ","CAR","Cumberland","CA20 1QN","","","🗺️"
"UKBOTA","223","B/G-0120","ROC Post Allonby Master Post","ROC Bunker","54.77338","-3.42252","IO84GS","CAR","Cumberland","CA15 6QB","true","","🗺️"
"UKBOTA","223","B/G-0121","ROC Post Silloth","ROC Bunker","54.86577","-3.39164","IO84HU","CAR","Cumberland","CA7 4BL","","","🗺️"
"UKBOTA","223","B/G-0122","ROC Post Cockermouth","ROC Bunker","54.68262","-3.36675","IO84HQ","CAR","Cumberland","CA13 0NY","","","🗺️"
"UKBOTA","223","B/G-0123","ROC Post Kirkbride","ROC Bunker","54.91324","-3.20515","IO84JV","CAR","Cumberland","CA7 5AA","","","🗺️"
"UKBOTA","223","B/G-0124","ROC Post Bassenthwaite","ROC Bunker","54.68460","-3.19727","IO84JQ","CAR","Cumberland","CA12 4RJ","","","🗺️"
"UKBOTA","223","B/G-0125","ROC Post Wigton","ROC Bunker","54.83219","-3.16739","IO84JT","CAR","Cumberland","CA7 9DH","","","🗺️"
"UKBOTA","223","B/G-0126","ROC Post Threlkeld","ROC Bunker","54.60991","-3.07245","IO84LO","CAR","Cumberland","CA12 4RR","","","🗺️"
"UKBOTA","223","B/G-0127","ROC Post Caldbeck","ROC Bunker","54.74294","-3.02952","IO84LR","CAR","Cumberland","CA7 8JJ","","","🗺️"
"UKBOTA","223","B/G-0128","ROC Post Dalston Master Post","ROC Bunker","54.82649","-2.96658","IO84MT","CAR","Cumberland","CA5 7AG","true","","🗺️"
"UKBOTA","223","B/G-0129","ROC Post Carlisle","ROC Bunker","54.92367","-2.96313","IO84MW","CAR","Cumberland","CA6 4SQ","","","🗺️"
"UKBOTA","223","B/G-0130","ROC Post Greystoke","ROC Bunker","54.67075","-2.85883","IO84NQ","CAR","Cumberland","CA11 0UJ","","","🗺️"
"UKBOTA","223","B/G-0131","ROC Post Armathwaite","ROC Bunker","54.80856","-2.80107","IO84OT","CAR","Cumberland","CA4 9TH","","","🗺️"
"UKBOTA","223","B/G-0132","ROC Post Penrith Master Post","ROC Bunker","54.65463","-2.77014","IO84OP","CAR","Cumberland","CA11 0DR","true","","🗺️"
"UKBOTA","223","B/G-0133","ROC Post Roadhead Master Post","ROC Bunker","55.06542","-2.75390","IO85OB","CAR","Cumberland","CA6 6NP","true","","🗺️"
"UKBOTA","223","B/G-0134","ROC Post Brampton","ROC Bunker","54.93515","-2.73491","IO84PW","CAR","Cumberland","CA8 1QJ","","","🗺️"
"UKBOTA","223","B/G-0135","ROC Post Culgaith Master Post","ROC Bunker","54.65892","-2.59971","IO84QP","CAR","Cumberland","CA10 1DN","true","","🗺️"
"UKBOTA","223","B/G-0136","ROC Post Alston Master Post","ROC Bunker","54.80998","-2.43282","IO84ST","CAR","Cumberland","CA9 3TQ","true","","🗺️"
"UKBOTA","223","B/G-0137","ROC Post Bootle","ROC Bunker","54.29118","-3.37742","IO84HG","PRE","Cumberland","LA19 5TJ","","","🗺️"
"UKBOTA","223","B/G-0138","ROC Post Eskdale","ROC Bunker","54.38926","-3.33321","IO84IJ","CAR","Cumberland","CA19 1TN","","","🗺️"
"UKBOTA","223","B/G-0139","ROC Post Millom","ROC Bunker","54.20084","-3.26342","IO84IE","PRE","Cumberland","LA18 4JY","","","🗺️"
