"UKBOTA Reference","Bunker Name","Type","Area","Latitude","Longitude","OSGR","WAB","Nearest Postcode","Maidenhead"
"B/G-0522","ROC Post Holbeach","ROC Bunker","Lincolnshire","52.817427","0.023299","TF 3645 2635","TF32","PE12 7PR","JO02AT"
"B/G-0523","ROC Post Alford","ROC Bunker","Lincolnshire","53.245376","0.11178","TF 4101 7412","TF47","LN13 0EY","JO03BF"
"B/G-0524","ROC Post Little Steeping","ROC Bunker","Lincolnshire","53.134566","0.129513","TF 4256 6183","TF46","PE23 5BE","JO03BD"
"B/G-0525","ROC Post Long Sutton","ROC Bunker","Lincolnshire","52.807992","0.140817","TF 4440 2553","TF42","PE12 9LJ","JO02BT"
"B/G-0526","ROC Post North Somercotes","ROC Bunker","Lincolnshire","53.429047","0.177023","TF 4474 9468","TF49","LN11 7RX","JO03CK"
"B/G-0527","ROC Post Old Leake","ROC Bunker","Lincolnshire","53.017547","0.157142","TF 4480 4887","TF44","PE22 9JL","JO03BA"
"B/G-0528","ROC Post Friskney","ROC Bunker","Lincolnshire","53.064514","0.228445","TF 4942 5424","TF45","PE22 8SD","JO03CB"
"B/G-0529","ROC Post Mablethorpe","ROC Bunker","Lincolnshire","53.352497","0.256665","TF 5030 8633","TF58","LN12 1QX","JO03DI"
"B/G-0530","ROC Post Skegness","ROC Bunker","Lincolnshire","53.164722","0.324595","TF 5550 6559","TF56","PE25 1FA","JO03DD"
"B/G-0531","ROC Post Chapel St. Leonards","ROC Bunker","Lincolnshire","53.235317","0.33756","TF 5611 7347","TF57","PE24 5XB","JO03EF"
"B/G-0532","ROC Post Hounslow","ROC Bunker","Greater London","51.462607","-0.4338","TQ 0890 7490","TQ07","TW14 9RL","IO91SL"
"B/G-0533","ROC Post Northolt","ROC Bunker","Greater London","51.553743","-0.423748","TQ 0938 8505","TQ08","HA4 6PW","IO91SN"
"B/G-0534","ROC Post Acton","ROC Bunker","Greater London","51.523656","-0.328928","TQ 1603 8185","TQ18","W13 0DH","IO91UM"
"B/G-0535","ROC Post Colindale","ROC Bunker","Greater London","51.579301","-0.271899","TQ 1984 8813","TQ18","NW9 9NT","IO91UN"
"B/G-0536","ROC Post Enfield","ROC Bunker","Greater London","51.681817","-0.136942","TQ 2890 9976","TQ29","EN2 8AN","IO91WQ"
"B/G-0537","ROC Post Bowes Park","ROC Bunker","Greater London","51.596988","-0.123667","TQ 3006 9035","TQ39","N22 7BD","IO91WO"
"B/G-0538","ROC Post Dulwich","ROC Bunker","Greater London","51.437496","-0.074875","TQ 3390 7270","TQ37","SE21 7LH","IO91XK"
"B/G-0539","ROC Post Stratford","ROC Bunker","Greater London","51.522954","0.039497","TQ 4159 8242","TQ48","E13 9PD","JO01AM"
"B/G-0540","ROC Post Melton Constable","ROC Bunker","Lincolnshire","52.927344","-0.452565","TF 0412 3778","TF03","NG34 0EL","IO92SW"
"B/G-0541","ROC Post Cley-next-the-Sea","ROC Bunker","Lincolnshire","52.983466","-0.420172","TF 0616 4407","TF04","NG34 6AH","IO92SX"
"B/G-0542","ROC Post West Walton","ROC Bunker","Norfolk","52.704794","0.188903","TF 4799 1415","TF41","PE14 7EF","JO02CQ"
"B/G-0543","ROC Post Upwell","ROC Bunker","Norfolk","52.596765","0.220133","TF 5047 0220","TF50","PE14 9HS","JO02CO"
"B/G-0544","ROC Post Wiggenhall St Germans","ROC Bunker","Norfolk","52.689773","0.335239","TF 5793 1279","TF51","PE34 3EW","JO02EQ"
"B/G-0545","ROC Post Downham Market","ROC Bunker","Norfolk","52.605702","0.36237","TF 6007 0350","TF60","PE38 9BS","JO02EO"
"B/G-0546","ROC Post King's Lynn","ROC Bunker","Norfolk","52.778456","0.374683","TF 6027 2274","TF62","PE30 2JF","JO02ES"
"B/G-0547","ROC Post Middleton","ROC Bunker","Norfolk","52.7156","0.475951","TF 6734 1598","TF61","PE32 1EB","JO02FR"
"B/G-0548","ROC Post Hunstanton","ROC Bunker","Norfolk","52.9493","0.492854","TF 6758 4201","TF64","PE36 6EL","JO02FW"
"B/G-0549","ROC Post Dersingham","ROC Bunker","Norfolk","52.857098","0.515939","TF 6949 3181","TF63","PE31 6NF","JO02GU"
"B/G-0550","ROC Post Stoke Ferry","ROC Bunker","Norfolk","52.576501","0.505594","TF 6988 0058","TF60","PE33 9SS","JO02GN"
"B/G-0551","ROC Post Narborough","ROC Bunker","Norfolk","52.635338","0.571327","TF 7410 0728","TF70","PE37 8BH","JO02GP"
"B/G-0552","ROC Post Docking","ROC Bunker","Norfolk","52.900823","0.606504","TF 7541 3689","TF73","PE31 8GR","JO02HV"
"B/G-0553","ROC Post Brancaster","ROC Bunker","Norfolk","52.954175","0.637704","TF 7729 4290","TF74","PE31 8DT","JO02HW"
"B/G-0554","ROC Post Swaffham","ROC Bunker","Norfolk","52.670002","0.690811","TF 8204 1143","TF81","PE37 7HY","JO02IQ"
"B/G-0555","ROC Post South Creake","ROC Bunker","Norfolk","52.881238","0.749213","TF 8509 3507","TF83","NR21 9LZ","JO02IV"
"B/G-0556","ROC Post West Raynham","ROC Bunker","Norfolk","52.787594","0.750719","TF 8559 2466","TF82","NR21 7JT","JO02JS"
"B/G-0557","ROC Post Wells-next-the-Sea","ROC Bunker","Norfolk","52.941963","0.851009","TF 9167 4209","TF94","NR23 1FH","JO02KW"
"B/G-0558","ROC Post Watton","ROC Bunker","Norfolk","52.599391","0.845538","TF 9281 0398","TF90","IP25 6SB","JO02KO"
"B/G-0559","ROC Post Gressenhall","ROC Bunker","Norfolk","52.731409","0.889833","TF 9522 1878","TF91","NR20 4HL","JO02KR"
"B/G-0560","ROC Post Fakenham","ROC Bunker","Norfolk","52.825444","0.902011","TF 9562 2927","TF92","NR21 0LL","JO02KT"
"B/G-0561","ROC Post East Dereham","ROC Bunker","Norfolk","52.646295","0.953556","TF 9991 0949","TF90","NR19 1QR","JO02LP"
"B/G-0562","ROC Post Guist","ROC Bunker","Norfolk","52.805986","0.972387","TG 0045 2730","TG02","NR20 5AX","JO02LT"
"B/G-0563","ROC Post Hingham","ROC Bunker","Norfolk","52.576965","1.006905","TG 0384 0193","TG00","NR9 4LR","JO02MN"
"B/G-0564","ROC Post Reepham","ROC Bunker","Norfolk","52.728207","1.088114","TG 0862 1898","TG01","NR9 5QS","JO02NR"
"B/G-0565","ROC Post Honingham","ROC Bunker","Norfolk","52.649157","1.091557","TG 0923 1020","TG01","NR20 3NE","JO02NP"
"B/G-0566","ROC Post Saxthorpe","ROC Bunker","Norfolk","52.818169","1.138282","TG 1157 2913","TG12","NR11 6QE","JO02NT"
"B/G-0567","ROC Post West Beckham","ROC Bunker","Norfolk","52.903984","1.181372","TG 1405 3880","TG13","NR25 6PL","JO02OV"
"B/G-0568","ROC Post Aylsham","ROC Bunker","Norfolk","52.78114","1.241069","TG 1868 2532","TG12","NR11 6UE","JO02OS"
"B/G-0569","ROC Post Hellesdon","ROC Bunker","Norfolk","52.653741","1.252778","TG 2011 1119","TG21","NR6 5EU","JO02PP"
"B/G-0570","ROC Post Cromer","ROC Bunker","Norfolk","52.924978","1.317884","TG 2312 4155","TG24","NR27 0DJ","JO02PW"
"B/G-0571","ROC Post North Walsham","ROC Bunker","Norfolk","52.843453","1.332306","TG 2451 3253","TG23","NR11 7EJ","JO02PU"
"B/G-0572","ROC Post Framingham Earl","ROC Bunker","Norfolk","52.573017","1.319423","TG 2503 0242","TG20","NR14 8XS","JO02PN"
"B/G-0573","ROC Post Coltishall[3]","ROC Bunker","Norfolk","52.71966","1.346552","TG 2611 1881","TG21","NR12 7EH","JO02QR"
"B/G-0574","ROC Post Mundesley","ROC Bunker","Norfolk","52.878665","1.419148","TG 3017 3672","TG33","NR11 8ES","JO02RV"
"B/G-0575","ROC Post Brundall","ROC Bunker","Norfolk","52.621588","1.460538","TG 3433 0827","TG30","NR13 4JA","JO02RO"
"B/G-0576","ROC Post Walcott","ROC Bunker","Norfolk","52.830916","1.523352","TG 3744 3175","TG33","NR12 0QY","JO02ST"
"B/G-0577","ROC Post Stalham","ROC Bunker","Norfolk","52.77085","1.544002","TG 3916 2514","TG32","NR12 9TD","JO02SS"
"B/G-0578","ROC Post Freethorpe","ROC Bunker","Norfolk","52.59312","1.56212","TG 4136 0544","TG40","NR13 3PE","JO02SO"
"B/G-0579","ROC Post Martham","ROC Bunker","Norfolk","52.693128","1.592173","TG 4284 1666","TG41","NR29 4RB","JO02TQ"
"B/G-0580","ROC Post Fleggburgh","ROC Bunker","Norfolk","52.642768","1.63314","TG 4589 1120","TG41","NR29 3EF","JO02TP"
"B/G-0581","ROC Post Winterton Ness","ROC Bunker","Norfolk","52.715873","1.697723","TG 4984 1955","TG41","NR29 4DD","JO02UR"
"B/G-0582","ROC Post Caister","ROC Bunker","Norfolk","52.644563","1.702937","TG 5060 1164","TG51","NR30 5SY","JO02UP"
"B/G-0583","ROC Post Southery","ROC Bunker","Norfolk","52.525274","0.382376","TL 6172 9460","TL69","PE38 0PL","JO02EM"
"B/G-0584","ROC Post Mundford","ROC Bunker","Norfolk","52.524358","0.661552","TL 8066 9516","TL89","IP26 5HX","JO02HM"
"B/G-0585","ROC Post Thetford","ROC Bunker","Norfolk","52.434768","0.741337","TL 8645 8540","TL88","IP24 1HB","JO02IK"
"B/G-0586","ROC Post Great Hockham","ROC Bunker","Norfolk","52.499811","0.880212","TL 9560 9300","TL99","IP24 1PG","JO02KL"
"B/G-0587","ROC Post Garboldisham","ROC Bunker","Norfolk","52.395323","0.95984","TM 0148 8160","TM08","IP22 2SP","JO02LJ"
"B/G-0588","ROC Post New Buckenham","ROC Bunker","Norfolk","52.474226","1.085164","TM 0963 9073","TM09","NR16 2BH","JO02NL"
"B/G-0589","ROC Post Diss","ROC Bunker","Norfolk","52.384834","1.105674","TM 1145 8085","TM18","IP22 4GJ","JO02NJ"
"B/G-0590","ROC Post Wymondham","ROC Bunker","Norfolk","52.545351","1.133523","TM 1257 9878","TM19","NR18 9NU","JO02NN"
"B/G-0591","ROC Post Long Stratton","ROC Bunker","Norfolk","52.482173","1.241865","TM 2023 9208","TM29","NR15 2RP","JO02OL"
"B/G-0592","ROC Post Harleston (Norfolk)","ROC Bunker","Norfolk","52.395071","1.314716","TM 2562 8262","TM28","IP20 9EB","JO02PJ"
"B/G-0593","ROC Post Loddon","ROC Bunker","Norfolk","52.530537","1.492156","TM 3696 9825","TM39","NR14 6JL","JO02RM"
"B/G-0594","ROC Post Aldeby","ROC Bunker","Norfolk","52.4824","1.582919","TM 4338 9320","TM49","NR34 0AH","JO02SL"
"B/G-0595","ROC Post Duddington","ROC Bunker","Northamptonshire","52.594491","-0.535185","SK 9932 0064","SK90","PE9 3QH","IO92RO"
"B/G-0596","ROC Post Chipping Warden","ROC Bunker","Northamptonshire","52.162888","-1.262995","SP 5051 5188","SP55","NN11 6UA","IO92ID"
"B/G-0597","ROC Post Crick","ROC Bunker","Northamptonshire","52.353815","-1.151174","SP 5791 7320","SP57","NN6 7XR","IO92KI"
"B/G-0598","ROC Post Brackley","ROC Bunker","Northamptonshire","52.031401","-1.149857","SP 5842 3734","SP53","NN13 6EN","IO92KA"
"B/G-0599","ROC Post Daventry","ROC Bunker","Northamptonshire","52.257898","-1.140259","SP 5878 6254","SP56","NN11 4SN","IO92KG"
"B/G-0600","ROC Post Blakesley","ROC Bunker","Northamptonshire","52.158861","-1.085742","SP 6264 5157","SP65","NN12 8HW","IO92KD"
"B/G-0601","ROC Post East Haddon","ROC Bunker","Northamptonshire","52.304847","-1.016006","SP 6719 6787","SP66","NN6 8DX","IO92LH"
"B/G-0602","ROC Post Clipston","ROC Bunker","Northamptonshire","52.437589","-0.968185","SP 7024 8268","SP78","LE16 9SB","IO92MK"
"B/G-0603","ROC Post Duston","ROC Bunker","Northamptonshire","52.237456","-0.957602","SP 7128 6043","SP76","NN5 4UU","IO92MF"
"B/G-0604","ROC Post Roade","ROC Bunker","Northamptonshire","52.157235","-0.90539","SP 7498 5156","SP75","NN7 2ND","IO92ND"
"B/G-0605","ROC Post Brixworth Master Post","ROC Bunker","Northamptonshire","52.332156","-0.891538","SP 7563 7103","SP77","NN6 9YE","IO92NH"
"B/G-0606","ROC Post Sutton Bassett","ROC Bunker","Northamptonshire","52.507953","-0.857211","SP 7766 9062","SP79","LE16 8HP","IO92NM"
"B/G-0607","ROC Post Cogenhoe","ROC Bunker","Northamptonshire","52.207498","-0.803908","SP 8183 5726","SP85","NN7 2BA","IO92OE"
"B/G-0608","ROC Post East Carlton","ROC Bunker","Northamptonshire","52.489834","-0.771668","SP 8350 8870","SP88","LE16 8YD","IO92OL"
"B/G-0609","ROC Post Corby","ROC Bunker","Northamptonshire","52.498025","-0.746839","SP 8517 8964","SP88","LE16 8TW","IO92PL"
"B/G-0610","ROC Post Kettering","ROC Bunker","Northamptonshire","52.368359","-0.736411","SP 8613 7523","SP87","NN14 1EW","IO92PI"
"B/G-0611","ROC Post Earls Barton","ROC Bunker","Northamptonshire","52.273661","-0.725622","SP 8705 6471","SP86","NN29 7TZ","IO92PG"
"B/G-0612","ROC Post Benefield","ROC Bunker","Northamptonshire","52.498648","-0.586692","SP 9604 8991","SP98","PE8 5AS","IO92QL"
"B/G-0613","ROC Post Raunds","ROC Bunker","Northamptonshire","52.358574","-0.549753","SP 9886 7438","SP97","NN14 4ER","IO92RI"
"B/G-0614","ROC Post Wansford","ROC Bunker","Cambridgeshire","52.56638","-0.40525","TL 0819 9770","TL09","PE8 6JU","IO92TN"
"B/G-0615","ROC Post Oundle","ROC Bunker","Northamptonshire","52.462575","-0.401497","TL 0870 8616","TL08","PE8 5QE","IO92TL"
"B/G-0616","ROC Post Castor","ROC Bunker","Cambridgeshire","52.580569","-0.325921","TL 1353 9940","TL19","PE6 7AG","IO92UN"
"B/G-0617","ROC Post Byrness","ROC Bunker","Northumberland","55.321752","-2.34477","NT 7822 0313","NT70","NE19 1TR","IO85TH"
"B/G-0618","ROC Post Norham-on-Tweed","ROC Bunker","Northumberland","55.709687","-2.149887","NT 9068 4626","NT94","TD15 2NL","IO85WR"
"B/G-0619","ROC Post Milfield","ROC Bunker","Northumberland","55.60469","-2.112028","NT 9304 3457","NT93","NE71 6JE","IO85WO"
"B/G-0620","ROC Post Harbottle","ROC Bunker","Northumberland","55.345739","-2.101834","NT 9364 0575","NT90","NE65 7BD","IO85WI"
"B/G-0621","ROC Post Hart Heugh","ROC Bunker","Northumberland","55.521086","-2.02468","NT 9854 2526","NT92","NE71 6RD","IO85XM"
"B/G-0622","ROC Post Whittingham","ROC Bunker","Northumberland","55.397034","-1.884242","NU 0743 1146","NU01","NE66 4RJ","IO95BJ"
"B/G-0623","ROC Post Fenham Hill","ROC Bunker","Northumberland","55.679351","-1.880868","NU 0759 4288","NU04","TD15 2PB","IO95BQ"
"B/G-0624","ROC Post Bamburgh","ROC Bunker","Northumberland","55.607968","-1.738543","NU 1657 3496","NU13","NE69 7AQ","IO95DO"
"B/G-0625","ROC Post Shilbottle","ROC Bunker","Northumberland","55.366531","-1.700221","NU 1910 0810","NU10","NE66 2HW","IO95DI"
"B/G-0626","ROC Post Embleton","ROC Bunker","Northumberland","55.495231","-1.643214","NU 2264 2244","NU22","NE66 3XJ","IO95EL"
"B/G-0627","ROC Post Longhoughton","ROC Bunker","Northumberland","55.432983","-1.592574","NU 2588 1553","NU21","NE66 3AL","IO95EK"
"B/G-0628","ROC Post Redrow","ROC Bunker","Northumberland","55.296974","-1.576329","NU 2700 0040","NU20","NE61 5BX","IO95FH"
"B/G-0629","ROC Post Kielder","ROC Bunker","Northumberland","55.219582","-2.581547","NY 6310 9186","NY69","NE48 1HD","IO85RF"
"B/G-0630","ROC Post Gilsland","ROC Bunker","Northumberland","54.987007","-2.565364","NY 6392 6597","NY66","CA8 7EH","IO84RX"
"B/G-0631","ROC Post Whitfield","ROC Bunker","Northumberland","54.912434","-2.346096","NY 7791 5758","NY75","NE47 8JG","IO84TV"
"B/G-0632","ROC Post Haydon Bridge","ROC Bunker","Northumberland","54.988147","-2.25345","NY 8388 6598","NY86","NE47 6HR","IO84UX"
"B/G-0633","ROC Post Bellingham","ROC Bunker","Northumberland","55.148393","-2.241443","NY 8471 8381","NY88","NE48 2EE","IO85VD"
"B/G-0634","ROC Post Otterburn","ROC Bunker","Northumberland","55.249459","-2.144058","NY 9094 9504","NY99","NE19 1AH","IO85WF"
"B/G-0635","ROC Post Slaley","ROC Bunker","Northumberland","54.916514","-2.044897","NY 9722 5798","NY95","NE47 0AD","IO84XV"
"B/G-0636","ROC Post Great Whittington","ROC Bunker","Northumberland","55.037476","-1.988861","NZ 0081 7144","NZ07","NE19 2HY","IO95AA"
"B/G-0637","ROC Post Prudhoe","ROC Bunker","Northumberland","54.95553","-1.858186","NZ 0918 6233","NZ06","NE42 6JJ","IO94BW"
"B/G-0638","ROC Post Hartburn","ROC Bunker","Northumberland","55.164353","-1.84693","NZ 0985 8557","NZ08","NE61 3SP","IO95BD"
"B/G-0639","ROC Post Longhorsley","ROC Bunker","Northumberland","55.242874","-1.77853","NZ 1418 9432","NZ19","NE65 8UX","IO95CF"
"B/G-0640","ROC Post Ponteland","ROC Bunker","Northumberland","55.020161","-1.757549","NZ 1560 6954","NZ16","NE15 9RD","IO95CA"
"B/G-0641","ROC Post Stannington","ROC Bunker","Northumberland","55.115025","-1.668556","NZ 2124 8012","NZ28","NE61 6EE","IO95DC"
"B/G-0642","ROC Post Kenton","ROC Bunker","Tyne and Wear","55.001432","-1.665584","NZ 2149 6748","NZ26","NE3 3ED","IO95EA"
"B/G-0643","ROC Post Ellington","ROC Bunker","Northumberland","55.226081","-1.552714","NZ 2855 9252","NZ29","NE61 5BS","IO95FF"
"B/G-0644","ROC Post Blyth","ROC Bunker","Northumberland","55.09988","-1.496923","NZ 3220 7850","NZ37","NE24 3PH","IO95GC"
"B/G-0645","ROC Post Whitley Bay","ROC Bunker","Tyne and Wear","55.034714","-1.451428","NZ 3516 7127","NZ37","NE30 3HU","IO95GA"
"B/G-0648","ROC Post Pleasley Hill","ROC Bunker","Nottinghamshire","53.174557","-1.240693","SK 5085 6443","SK56","NG19 7RU","IO93JE"
"B/G-0649","ROC Post Hucknall","ROC Bunker","Nottinghamshire","53.036527","-1.233575","SK 5149 4908","SK54","NG15 6QB","IO93JA"
"B/G-0650","ROC Post Clifton","ROC Bunker","Nottinghamshire","52.897683","-1.199159","SK 5397 3366","SK53","NG11 8ES","IO92JV"
"B/G-0651","ROC Post Edwinstowe","ROC Bunker","Nottinghamshire","53.177915","-1.067818","SK 6240 6494","SK66","NG21 9JF","IO93LE"
"B/G-0652","ROC Post Cotgrave","ROC Bunker","Nottinghamshire","52.899932","-1.06413","SK 6305 3402","SK63","NG12 5PA","IO92LV"
"B/G-0653","ROC Post Blyth","ROC Bunker","Nottinghamshire","53.367873","-1.047446","SK 6348 8609","SK68","S81 8DU","IO93LI"
"B/G-0654","ROC Post Farnsfield","ROC Bunker","Nottinghamshire","53.119717","-1.051744","SK 6356 5848","SK65","NG22 8BP","IO93LC"
"B/G-0655","ROC Post Burton Joyce","ROC Bunker","Nottinghamshire","52.996941","-1.042963","SK 6433 4483","SK64","NG14 5FP","IO92LX"
"B/G-0656","ROC Post East Markham","ROC Bunker","Nottinghamshire","53.254709","-0.911759","SK 7270 7363","SK77","NG22 0PJ","IO93NG"
"B/G-0657","ROC Post Clarborough","ROC Bunker","Nottinghamshire","53.339256","-0.878218","SK 7479 8307","SK78","DN22 9NE","IO93NI"
"B/G-0658","ROC Post Newark-on-Trent","ROC Bunker","Nottinghamshire","53.106113","-0.87294","SK 7555 5714","SK75","NG23 6BE","IO93NC"
"B/G-0659","ROC Post Wiseton","ROC Bunker","Nottinghamshire","53.4167","-0.864294","SK 7558 9170","SK79","DN10 4NB","IO93NK"
"B/G-0660","ROC Post Collingham","ROC Bunker","Nottinghamshire","53.156466","-0.74809","SK 8381 6288","SK86","NG23 7NU","IO93PD"
"B/G-0661","ROC Post Carterton","ROC Bunker","Oxfordshire","51.763104","-1.637564","SP 2511 0722","SP20","OX18 4AP","IO91ES"
"B/G-0662","ROC Post Shipton-under-Wychwood","ROC Bunker","Oxfordshire","51.871719","-1.584403","SP 2871 1932","SP21","OX7 6BJ","IO91EU"
"B/G-0663","ROC Post Hailey","ROC Bunker","Oxfordshire","51.814285","-1.496878","SP 3478 1297","SP31","OX29 9XH","IO91GT"
"B/G-0664","ROC Post Enstone","ROC Bunker","Oxfordshire","51.91176","-1.459301","SP 3729 2383","SP32","OX7 4HH","IO91GV"
"B/G-0665","ROC Post Swalcliffe","ROC Bunker","Oxfordshire","52.038253","-1.457485","SP 3731 3790","SP33","OX15 5ER","IO92GA"
"B/G-0666","ROC Post Bloxham","ROC Bunker","Oxfordshire","52.005307","-1.343524","SP 4516 3430","SP43","OX15 4HF","IO92HA"
"B/G-0667","ROC Post Boars Hill","ROC Bunker","Oxfordshire","51.722363","-1.297683","SP 4861 0286","SP40","OX1 5EU","IO91IR"
"B/G-0668","ROC Post Kidlington","ROC Bunker","Oxfordshire","51.814853","-1.277969","SP 4987 1316","SP41","OX5 2NX","IO91IT"
"B/G-0669","ROC Post Middleton Stoney","ROC Bunker","Oxfordshire","51.909568","-1.213796","SP 5418 2374","SP52","OX25 4TA","IO91JV"
"B/G-0670","ROC Post Brill","ROC Bunker","Oxfordshire","51.831035","-1.072367","SP 6402 1512","SP61","HP18 9XD","IO91LT"
"B/G-0671","ROC Post Thame","ROC Bunker","Oxfordshire","51.747353","-0.95762","SP 7206 0592","SP70","OX9 3JL","IO91MR"
"B/G-0672","ROC Post Culham","ROC Bunker","Oxfordshire","51.650929","-1.261351","SU 5120 9494","SU59","OX14 4NE","IO91IP"
"B/G-0673","ROC Post Stadhampton","ROC Bunker","Oxfordshire","51.675401","-1.09623","SU 6259 9779","SU69","OX44 7SG","IO91KQ"
"B/G-0674","ROC Post Checkendon","ROC Bunker","Oxfordshire","51.57044","-1.03598","SU 6691 8617","SU68","RG9 5TD","IO91LN"
"B/G-0675","ROC Post Watlington","ROC Bunker","Oxfordshire","51.636463","-0.975192","SU 7102 9357","SU79","OX49 5HS","IO91MP"
"B/G-0676","ROC Post Shiplake","ROC Bunker","Oxfordshire","51.494226","-0.906792","SU 7599 7782","SU77","RG9 4BX","IO91NL"
"B/G-0677","ROC Post Empingham","ROC Bunker","Rutland","52.674594","-0.602023","SK 9462 0946","SK90","LE15 8QA","IO92QQ"
"B/G-0678","ROC Post Uppingham","ROC Bunker","Rutland","52.582531","-0.746497","SP 8503 9904","SP89","LE15 9HJ","IO92PN"
"B/G-0679","ROC Post Oswestry","ROC Bunker","Shropshire","52.861881","-3.046073","SJ 2967 2989","SJ22","SY11 2LZ","IO82LU"
"B/G-0680","ROC Post Minsterley","ROC Bunker","Shropshire","52.642508","-2.92969","SJ 3719 0538","SJ30","SY5 0AF","IO82MP"
"B/G-0681","ROC Post Nesscliffe","ROC Bunker","Shropshire","52.762335","-2.90764","SJ 3885 1869","SJ31","SY4 1DN","IO82NS"
"B/G-0682","ROC Post Cockshutt","ROC Bunker","Shropshire","52.854137","-2.844508","SJ 4323 2885","SJ42","SY12 0JQ","IO82NU"
"B/G-0683","ROC Post Bomere Heath","ROC Bunker","Shropshire","52.775657","-2.765013","SJ 4849 2006","SJ42","SY4 3LX","IO82OS"
"B/G-0684","ROC Post Upton Magna","ROC Bunker","Shropshire","52.708547","-2.668519","SJ 5493 1253","SJ51","SY4 4TS","IO82PR"
"B/G-0685","ROC Post Whitchurch - Shropshire","ROC Bunker","Shropshire","52.974036","-2.663675","SJ 5553 4206","SJ54","SY13 1PG","IO82QX"
"B/G-0686","ROC Post Prees","ROC Bunker","Shropshire","52.893537","-2.655458","SJ 5600 3310","SJ53","SY13 2EP","IO82QV"
"B/G-0687","ROC Post Great Bolas","ROC Bunker","Shropshire","52.785748","-2.550045","SJ 6300 2105","SJ62","TF6 6QH","IO82RS"
"B/G-0688","ROC Post Market Drayton","ROC Bunker","Shropshire","52.907929","-2.506688","SJ 6602 3462","SJ63","TF9 3UN","IO82RV"
"B/G-0689","ROC Post Oakengates","ROC Bunker","Shropshire","52.688074","-2.454874","SJ 6935 1014","SJ61","TF2 0EZ","IO82SQ"
"B/G-0690","ROC Post Sambrook","ROC Bunker","Shropshire","52.815926","-2.425346","SJ 7143 2435","SJ72","TF10 8BW","IO82ST"
"B/G-0691","ROC Post Dorrington","ROC Bunker","Shropshire","52.622174","-2.380035","SJ 7437 0278","SJ70","TF11 9NT","IO82TO"
"B/G-0692","ROC Post Boscobel","ROC Bunker","Shropshire","52.677621","-2.252578","SJ 8302 0891","SJ80","ST19 9AP","IO82UQ"
"B/G-0693","ROC Post Lydbury North","ROC Bunker","Shropshire","52.467811","-2.943374","SO 3601 8596","SO38","SY7 8AP","IO82ML"
"B/G-0694","ROC Post Craven Arms","ROC Bunker","Shropshire","52.447448","-2.854656","SO 4201 8362","SO48","SY7 9AG","IO82NK"
"B/G-0695","ROC Post Church Stretton","ROC Bunker","Shropshire","52.531324","-2.790389","SO 4648 9290","SO49","SY6 7AP","IO82OM"
"B/G-0696","ROC Post Ludlow","ROC Bunker","Shropshire","52.365035","-2.729847","SO 5040 7436","SO57","SY8 2LN","IO82PI"
"B/G-0697","ROC Post Tenbury Wells","ROC Bunker","Shropshire","52.320155","-2.60587","SO 5880 6929","SO56","WR15 8HB","IO82QH"
"B/G-0698","ROC Post Ditton Priors","ROC Bunker","Shropshire","52.49972","-2.581821","SO 6060 8925","SO68","WV16 6SP","IO82RL"
"B/G-0699","ROC Post Much Wenlock","ROC Bunker","Shropshire","52.583738","-2.571274","SO 6139 9859","SO69","TF13 6QB","IO82RO"
"B/G-0700","ROC Post Stottesdon","ROC Bunker","Shropshire","52.440629","-2.466001","SO 6842 8262","SO68","DY14 8UQ","IO82SK"
"B/G-0701","ROC Post Bridgnorth","ROC Bunker","Shropshire","52.53583","-2.392705","SO 7346 9318","SO79","WV15 5HW","IO82TM"
"B/G-0702","ROC Post Pattingham","ROC Bunker","Staffordshire","52.570964","-2.27026","SO 8178 9705","SO89","WV6 7EN","IO82UN"
"B/G-0704","ROC Post Exford","ROC Bunker","Somerset","51.129319","-3.658843","SS 8402 3798","SS83","TA24 7ND","IO81ED"
"B/G-0705","ROC Post Dulverton","ROC Bunker","Somerset","51.033218","-3.59836","SS 8802 2720","SS82","TA22 9RZ","IO81EA"
"B/G-0706","ROC Post Dunster","ROC Bunker","Somerset","51.190228","-3.424764","ST 0053 4441","ST04","TA24 6TH","IO81GE"
"B/G-0707","ROC Post Lydeard St. Lawrence","ROC Bunker","Somerset","51.07459","-3.251343","ST 1243 3133","ST13","TA4 3PL","IO81IB"
"B/G-0708","ROC Post Wellington","ROC Bunker","Somerset","51.003536","-3.209808","ST 1521 2338","ST12","TA21 0DA","IO81JA"
"B/G-0709","ROC Post Holford","ROC Bunker","Somerset","51.178808","-3.20037","ST 1619 4286","ST14","TA5 1SS","IO81JE"
"B/G-0710","ROC Post Kingston St. Mary","ROC Bunker","Somerset","51.06768","-3.097873","ST 2317 3039","ST23","TA2 8HS","IO81KB"
"B/G-0711","ROC Post Puriton","ROC Bunker","Somerset","51.18245","-3.015183","ST 2914 4307","ST24","TA6 4SL","IO81LE"
"B/G-0712","ROC Post Chard","ROC Bunker","Somerset","50.877515","-2.983666","ST 3089 0913","ST30","TA20 3PS","IO80MV"
"B/G-0713","ROC Post Hatch Beauchamp","ROC Bunker","Somerset","50.991018","-2.98179","ST 3119 2175","ST32","TA3 6AW","IO80MX"
"B/G-0714","ROC Post Bleadon","ROC Bunker","Somerset","51.316424","-2.94094","ST 3452 5790","ST35","BS24 0AD","IO81MH"
