"UKBOTA Reference","Bunker Name","Type","Area","Latitude","Longitude","OSGR","WAB","Nearest Postcode","Maidenhead"
"B/G-1200","Airbattle HQ - Barrow","WW2 Airbattle HQ","Cumbria","54.124611","-3.264006","SD 1749 7060","SD17","LA14 3YS","IO84IC"
"B/G-1201","Airbattle HQ - Beccles","WW2 Airbattle HQ","Suffolk","52.436814","1.603058","TM 4500 8820","TM48","NR34 7XD","JO02TK"
"B/G-1202","Airbattle HQ - Benson","WW2 Airbattle HQ","Oxfordshire","51.614301","-1.090078","SU 6310 9100","SU69","OX10 6AA","IO91KO"
"B/G-1203","Airbattle HQ - Bicester","WW2 Airbattle HQ","Oxfordshire","51.915859","-1.136338","SP 5950 2450","SP52","OX27 8AL","IO91KV"
"B/G-1204","Airbattle HQ - Binbrook","WW2 Airbattle HQ","Lincolnshire","53.443954","-0.217936","TF 1846 9561","TF19","LN8 3ZW","IO93VK"
"B/G-1205","Airbattle HQ - Blyton","WW2 Airbattle HQ","Lincolnshire","53.44848","-0.693143","SK 8689 9543","SK89","DN21 3PF","IO93PK"
"B/G-1206","Airbattle HQ - Bodney","WW2 Airbattle HQ","Norfolk","52.558915","0.719712","TL 8446 9915","TL89","IP26 5BX","JO02IN"
"B/G-1207","Airbattle HQ - Bottisham","WW2 Airbattle HQ","Cambridgeshire","52.211763","0.261338","TL 5460 5947","TL55","CB25 9BU","JO02DF"
"B/G-1208","Airbattle HQ - Bourn","WW2 Airbattle HQ","Cambridgeshire","52.212983","-0.032534","TL 3452 5902","TL35","CB23 7FL","IO92XF"
"B/G-1209","Airbattle HQ - Bovingdon","WW2 Airbattle HQ","Buckinghamshire","51.732811","-0.545106","TL 0057 0479","TL00","HP5 3RW","IO91RR"
"B/G-1210","Airbattle HQ - Bradwell Bay","WW2 Airbattle HQ","Essex","51.736158","0.896123","TM 0007 0813","TM00","CM0 7HW","JO01KR"
"B/G-1211","Airbattle HQ - Bramcote","WW2 Airbattle HQ","Warwickshire","52.48028","-1.395525","SP 4115 8710","SP48","CV12 9JX","IO92HL"
"B/G-1212","Airbattle HQ - Braunstone","WW2 Airbattle HQ","Leicestershire","52.498699","-1.109056","SP 6058 8935","SP68","LE17 5QN","IO92KL"
"B/G-1213","Airbattle HQ - Burscough (HMS Ringtail)","WW2 Airbattle HQ","Lancashire","53.588128","-2.865421","SD 4281 1052","SD41","L40 8AD","IO83NO"
"B/G-1214","Airbattle HQ - Caistor","WW2 Airbattle HQ","Lincolnshire","53.500578","-0.361661","TA 0877 0168","TA00","LN7 6HH","IO93TM"
"B/G-1215","Airbattle HQ - Cammeringham","WW2 Airbattle HQ","Lincolnshire","53.344932","-0.553606","SK 9639 8409","SK98","LN1 2YQ","IO93RI"
"B/G-1216","Airbattle HQ - Cark","WW2 Airbattle HQ","Cumbria","54.165055","-2.963039","SD 3722 7479","SD37","LA11 7LS","IO84MD"
"B/G-1217","Airbattle HQ - Catfoss","WW2 Airbattle HQ","East Riding of Yorkshire","53.913756","-0.274274","TA 1345 4778","TA14","YO25 8ES","IO93UV"
"B/G-1218","Airbattle HQ - Charlton Horethorne","WW2 Airbattle HQ","Somerset","51.020324","-2.501797","ST 6490 2467","ST62","DT9 4LZ","IO81RA"
"B/G-1219","Airbattle HQ - Charmy Down","WW2 Airbattle HQ","Somerset","51.429006","-2.354944","ST 7542 7006","ST77","BA1 8AF","IO81TK"
"B/G-1220","Airbattle HQ - Chedworth","WW2 Airbattle HQ","Gloucestershire","51.810759","-1.939612","SP 0426 1246","SP01","GL54 4NU","IO91AT"
"B/G-1221","Airbattle HQ - Chelveston","WW2 Airbattle HQ","Bedfordshire","52.295769","-0.531276","TL 0026 6742","TL06","MK44 1AP","IO92RH"
"B/G-1222","Airbattle HQ - Chilbolton","WW2 Airbattle HQ","Hampshire","51.147494","-1.442541","SU 3909 3884","SU33","SO20 6AN","IO91GD"
"B/G-1223","Airbattle HQ - Church Fenton","WW2 Airbattle HQ","North Yorkshire","53.841323","-1.197682","SE 5289 3864","SE53","LS24 9DX","IO93JU"
"B/G-1224","Airbattle HQ - Church Lawford","WW2 Airbattle HQ","Warwickshire","52.349489","-1.347835","SP 4452 7258","SP47","CV23 9JJ","IO92HI"
"B/G-1225","Airbattle HQ - Cleave","WW2 Airbattle HQ","Cornwall","50.890824","-4.54703","SS 2096 1324","SS21","EX23 9JH","IO70RV"
"B/G-1226","Airbattle HQ - Clyffe Pypard","WW2 Airbattle HQ","Wiltshire","51.482363","-1.890219","SU 0772 7594","SU07","SN4 7PY","IO91BL"
"B/G-1227","Airbattle HQ - Condover","WW2 Airbattle HQ","Shropshire","52.633932","-2.729439","SJ 5073 0427","SJ50","SY5 7NN","IO82PP"
"B/G-1228","Airbattle HQ - Cranage","WW2 Airbattle HQ","Cheshire","53.221509","-2.402397","SJ 7323 6946","SJ76","CW10 9LT","IO83TF"
"B/G-1229","Airbattle HQ - Cranfield","WW2 Airbattle HQ","Bedfordshire","52.077164","-0.617989","SP 9481 4299","SP94","MK43 0AH","IO92QB"
"B/G-1230","Airbattle HQ - Croft","WW2 Airbattle HQ","North Yorkshire","54.459779","-1.545988","NZ 2953 0725","NZ20","DL2 2PL","IO94FL"
"B/G-1231","Airbattle HQ - Crosby on Eden","WW2 Airbattle HQ","Cumbria","54.941063","-2.794494","NY 4920 6100","NY46","CA6 4NH","IO84OW"
"B/G-1232","Airbattle HQ - Croughton","WW2 Airbattle HQ","Northamptonshire","51.993523","-1.184363","SP 5610 3310","SP53","NN13 5XP","IO91JX"
"B/G-1233","Airbattle HQ - Culmhead","WW2 Airbattle HQ","Somerset","50.923233","-3.1289","ST 2075 1436","ST21","TA3 7DW","IO80KW"
"B/G-1234","Airbattle HQ - Derby","WW2 Airbattle HQ","Derbyshire","52.874614","-1.57043","SK 2901 3088","SK23","DE1 9TA","IO92FU"
"B/G-1235","Airbattle HQ - Desborough","WW2 Airbattle HQ","Northamptonshire","52.474046","-0.792573","SP 8211 8692","SP88","LE16 8FE","IO92OL"
"B/G-1236","Airbattle HQ - Detling","WW2 Airbattle HQ","Kent","51.311041","0.607939","TQ 8186 6011","TQ86","ME14 3HX","JO01HH"
"B/G-1237","Airbattle HQ - Digby","WW2 Airbattle HQ","Lincolnshire","53.105793","-0.445421","TF 0417 5764","TF05","LN4 3DL","IO93SC"
"B/G-1238","Airbattle HQ - Downham Market","WW2 Airbattle HQ","Norfolk","52.613816","0.40151","TF 6269 0449","TF60","PE34 3QN","JO02EO"
"B/G-1239","Airbattle HQ - Dunkeswell","WW2 Airbattle HQ","Devon","50.868318","-3.232452","ST 1337 0837","ST10","EX14 4AH","IO80JU"
"B/G-1240","Airbattle HQ - Dunsfold","WW2 Airbattle HQ","Surrey","51.11172","-0.545265","TQ 0193 3572","TQ03","GU8 4NP","IO91RC"
"B/G-1241","Airbattle HQ - Duxford","WW2 Airbattle HQ","Cambridgeshire","52.082287","0.059646","TL 4123 4466","TL44","SG8 7SH","JO02AB"
"B/G-1242","Airbattle HQ - Earls Colne","WW2 Airbattle HQ","Essex","51.91113","0.693614","TL 8537 2705","TL82","CO6 2JU","JO01IV"
"B/G-1243","Airbattle HQ - Eastchurch","WW2 Airbattle HQ","Kent","51.395711","0.845804","TQ 9807 7014","TQ97","ME12 4AA","JO01KJ"
"B/G-1244","Airbattle HQ - Elmdon","WW2 Airbattle HQ","West Midlands","52.449573","-1.758794","SP 1649 8354","SP18","B92 9DF","IO92CK"
"B/G-1245","Airbattle HQ - Exeter","WW2 Airbattle HQ","Devon","50.740261","-3.406952","SY 0082 9435","SY09","EX5 2GA","IO80HR"
"B/G-1246","Airbattle HQ - Fairlop","WW2 Airbattle HQ","Greater London","51.590407","0.100264","TQ 4559 9004","TQ49","IG2 7TE","JO01BO"
"B/G-1247","Airbattle HQ - Feltwell","WW2 Airbattle HQ","Norfolk","52.470716","0.503113","TL 7012 8881","TL78","IP26 4JN","JO02GL"
"B/G-1248","Airbattle HQ - Filton","WW2 Airbattle HQ","Gloucestershire","51.512353","-2.581255","ST 5976 7943","ST57","BS34 7QS","IO81RM"
"B/G-1249","Airbattle HQ - Finmere","WW2 Airbattle HQ","Oxfordshire","51.983723","-1.07475","SP 6364 3210","SP63","MK18 4AQ","IO91LX"
"B/G-1250","Airbattle HQ - Fiskerton","WW2 Airbattle HQ","Lincolnshire","53.240269","-0.430812","TF 0482 7262","TF07","LN3 4GE","IO93SF"
"B/G-1251","Airbattle HQ - Fowlmere","WW2 Airbattle HQ","Cambridgeshire","52.082376","0.05965","TL 4123 4467","TL44","SG8 7SH","JO02AB"
"B/G-1252","Airbattle HQ - Goxhill","WW2 Airbattle HQ","Lincolnshire","53.670949","-0.324328","TA 1080 2069","TA12","DN19 7LU","IO93UQ"
"B/G-1253","Airbattle HQ - Grafton Underwood","WW2 Airbattle HQ","Northamptonshire","52.418484","-0.635429","SP 9290 8093","SP98","NN14 3AB","IO92QK"
"B/G-1254","Airbattle HQ - Great Ashfield","WW2 Airbattle HQ","Suffolk","52.260795","0.937824","TM 0059 6658","TM06","IP31 3HP","JO02LG"
"B/G-1255","Airbattle HQ - Grove","WW2 Airbattle HQ","Oxfordshire","51.599365","-1.450167","SU 3818 8909","SU38","OX12 9WQ","IO91GO"
"B/G-1256","Airbattle HQ - Hamble","WW2 Airbattle HQ","Hampshire","50.868032","-1.326794","SU 4747 0783","SU40","SO31 4HU","IO90IU"
"B/G-1257","Airbattle HQ - Harrowbeer(1)","WW2 Airbattle HQ","Devon","50.494145","-4.102617","SX 5096 6815","SX56","PL20 6EL","IO70WL"
"B/G-1258","Airbattle HQ - Harrowbeer(2)","WW2 Airbattle HQ","Devon","50.482874","-4.094222","SX 5152 6688","SX56","PL20 6BN","IO70WL"
"B/G-1259","Airbattle HQ - Hawkinge(1)","WW2 Airbattle HQ","Kent","51.109188","1.149506","TR 2056 3915","TR23","CT18 7SD","JO01NC"
"B/G-1260","Airbattle HQ - Hawkinge(2)","WW2 Airbattle HQ","Kent","51.109472","1.148954","TR 2052 3918","TR23","CT18 7SD","JO01NC"
"B/G-1261","Airbattle HQ - Hawkinge(3)","WW2 Airbattle HQ","Kent","51.108762","1.14862","TR 2050 3910","TR23","CT18 7SD","JO01NC"
"B/G-1262","Airbattle HQ - Hibaldstowe","WW2 Airbattle HQ","Lincolnshire","53.498396","-0.525472","SE 9791 0120","SE90","DN20 9NN","IO93RL"
"B/G-1263","Airbattle HQ - High Ercall","WW2 Airbattle HQ","Shropshire","52.75638","-2.581829","SJ 6083 1780","SJ61","TF6 6JB","IO82RS"
"B/G-1264","Airbattle HQ - Hinton in the Hedges","WW2 Airbattle HQ","Northamptonshire","52.028958","-1.199024","SP 5505 3703","SP53","NN13 5LF","IO92JA"
"B/G-1265","Airbattle HQ - Hixon","WW2 Airbattle HQ","Staffordshire","52.843388","-1.998028","SK 0023 2732","SK02","ST18 0GL","IO92AU"
"B/G-1266","Airbattle HQ - Holmsley South","WW2 Airbattle HQ","Hampshire","50.795328","-1.707524","SZ 2071 9957","SZ29","BH23 8DX","IO90DT"
"B/G-1267","Airbattle HQ - Honeybourne","WW2 Airbattle HQ","Worcestershire","52.089015","-1.835906","SP 1134 4342","SP14","WR11 7PG","IO92BC"
"B/G-1268","Airbattle HQ - Hooton Park","WW2 Airbattle HQ","Cheshire","53.30181","-2.9399","SJ 3746 7873","SJ37","CH65 1BJ","IO83MH"
"B/G-1269","Airbattle HQ - Hornchurch","WW2 Airbattle HQ","Greater London","51.532933","0.208498","TQ 5328 8387","TQ58","RM13 7YH","JO01CM"
"B/G-1270","Airbattle HQ - Hucknall","WW2 Airbattle HQ","Nottinghamshire","53.022285","-1.227566","SK 5191 4750","SK54","NG15 6FT","IO93JA"
"B/G-1271","Airbattle HQ - Hunmanby","WW2 Airbattle HQ","North Yorkshire","54.179227","-0.327442","TA 0926 7723","TA07","YO14 0JG","IO94UE"
"B/G-1272","Airbattle HQ - Hunsdon","WW2 Airbattle HQ","Hertfordshire","51.79983","0.065457","TL 4252 1326","TL41","CM20 2RA","JO01AT"
"B/G-1273","Airbattle HQ - Hutton Cranswick","WW2 Airbattle HQ","East Riding of Yorkshire","53.950166","-0.452742","TA 0164 5156","TA05","YO25 9QE","IO93SW"
"B/G-1274","Airbattle HQ - Ibsley","WW2 Airbattle HQ","Hampshire","50.878556","-1.768834","SU 1636 0881","SU10","BH24 3NF","IO90CV"
"B/G-1275","Airbattle HQ - Keevil","WW2 Airbattle HQ","Wiltshire","51.314746","-2.123344","ST 9150 5730","ST95","BA14 6ER","IO81WH"
"B/G-1276","Airbattle HQ - Kemble","WW2 Airbattle HQ","Wiltshire","51.667267","-2.047667","ST 9680 9650","ST99","GL7 6AY","IO81XQ"
"B/G-1277","Airbattle HQ - Kidlington","WW2 Airbattle HQ","Oxfordshire","51.835096","-1.310009","SP 4764 1539","SP41","OX5 1RB","IO91IU"
"B/G-1278","Airbattle HQ - Kings Cliffe(1)","WW2 Airbattle HQ","Northamptonshire","52.562028","-0.484632","TL 0282 9710","TL09","PE8 5DW","IO92SN"
"B/G-1279","Airbattle HQ - Kings Cliffe(2)","WW2 Airbattle HQ","Northamptonshire","52.568094","-0.480881","TL 0306 9778","TL09","PE8 6NU","IO92SN"
"B/G-1280","Airbattle HQ - Kirmington","WW2 Airbattle HQ","Lincolnshire","53.572941","-0.348444","TA 0946 0975","TA00","DN39 6YG","IO93TN"
"B/G-1281","Airbattle HQ - Langham","WW2 Airbattle HQ","Norfolk","52.937486","0.971276","TF 9977 4192","TF94","NR25 7BP","JO02LW"
"B/G-1282","Airbattle HQ - Little Horwood","WW2 Airbattle HQ","Buckinghamshire","51.964513","-0.86264","SP 7824 3017","SP73","MK17 0PD","IO91NX"
"B/G-1283","Airbattle HQ - Little Snoring","WW2 Airbattle HQ","Norfolk","52.859764","0.906976","TF 9580 3310","TF93","NR21 0JJ","JO02KU"
"B/G-1284","Airbattle HQ - Little Staughton","WW2 Airbattle HQ","Cambridgeshire","52.245657","-0.351738","TL 1263 6211","TL16","PE19 5BW","IO92TF"
"B/G-1285","Airbattle HQ - Long Marston","WW2 Airbattle HQ","Warwickshire","52.144866","-1.745829","SP 1749 4965","SP14","CV37 8LN","IO92DD"
